id,carrera1,carrera2,carrera3
88493,LCN,,
92988,LPA,,
94286,LEF,,
111083,LFP,,
134718,LIS,,
140079,LNA,,
141549,LIC,,
145096,BBA,,
146503,LFP,,
146943,LCN,,
146952,LIC,,
148182,LFP,,
148941,LPA,,
149147,LNI,,
149242,LPD,,
149292,LRM,,
149356,LMT,,
149449,LFP,,
150996,LIS,,
151115,LMK,,
151457,LMK,,
151487,LAR,,
151524,LII,,
151533,LDS,,
152062,LMT,,
152249,LPA,,
152934,LMT,,
153142,LFP,,
153270,LIM,,
153774,LMK,,
153896,LAR,,
154011,LRT,,
154059,LFB,,
154302,LPA,,
154329,LMK,,
154472,CIV,,
154666,LEA,,
154677,LPM,,
154723,LRI,,
154817,LIY,,
155122,LNI,,
155221,LII,,
155623,LAD,,
155634,LEC,,
155700,LPM,,
155843,LPT,,
156018,LPA,,
156053,LEC,,
156192,LPM,,
156299,LAP,,
156400,LPA,,
156546,LNM,,
156677,LPO,,
156695,LAD,,
156816,LNI,,
156840,LBM,,
156841,LBM,,
156910,LNI,,
157032,LFB,,
157150,LCS,,
157265,LMT,,
157293,LPM,,
157496,LFP,,
157755,LEC,,
157794,LEA,,
157880,LPM,,
157920,LIC,,
157980,BAR,,
158085,LNI,,
158100,LAD,,
158188,LHR,,
158197,LNM,,
158276,LNI,,
158304,LBN,,
158394,LEA,,
158396,LPM,,
158434,LDS,,
158454,LNM,,
158493,LPT,,
158504,LBC,,
158532,LBM,,
158650,LRP,,
158655,LBN,,
158681,LPA,,
158716,LRP,,
158739,LFP,,
158815,LEC,,
158840,LHR,,
158874,LNI,,
158882,LNI,,
158902,LNA,,
158922,LRM,,
158930,LEC,,
158955,LAD,,
158959,LFA,,
158979,LIS,,
158991,LFP,,
159029,LNI,,
159054,LNI,,
159060,LIM,,
159061,LEF,,
159064,LRP,,
159073,LNI,,
159081,LBM,,
159105,LMK,,
159109,LIY,,
159167,LAR,,
159185,LAR,,
159210,LII,,
159221,LIY,,
159224,LAD,,
159233,LII,,
159262,LAR,,
159272,LFP,,
159350,LPO,,
159385,LPM,,
159387,LPA,,
159396,LPA,,
159426,LPM,,
159437,LCN,LPA,
159460,LNI,,
159490,LHR,,
159491,LRM,,
159518,LFA,,
159522,LBN,,
159535,LMK,,
159577,LPA,,
159605,LFB,,
159641,LBN,,
159685,LEC,,
159723,LFA,LDS,
159749,LAR,,
159803,LII,,
159828,LIC,,
159831,LII,,
159838,LMT,,
159841,LMK,,
159868,LAD,,
159900,LIS,,
159904,LIS,,
159925,LRP,,
159940,LBN,,
159956,LNI,,
159959,LIV,,
159988,LEA,,
160003,LIS,LRT,
160015,LNI,,
160040,LIM,,
160060,LRP,,
160069,LNI,,
160072,LAI,,
160082,LBN,,
160085,LNM,,
160104,LEC,,
160110,LFA,,
160182,LRP,,
160190,LBN,,
160192,LIS,,
160219,LNM,,
160235,BNI,,
160260,LNI,,
160261,LFP,,
160271,LBN,,
160273,LIS,,
160298,LPM,LRP,
160322,LPA,,
160337,LRP,,
160411,LIM,,
160426,LBN,,
160427,LPM,,
160430,LPA,LPO,
160473,LCN,,
160485,LFP,,
160490,LCU,,
160495,LAT,,
160520,LAD,,
160530,LFP,,
160536,LRP,,
160545,LII,,
160549,LFP,,
160552,LMT,,
160564,LMT,,
160568,LIC,,
160569,LII,,
160583,LRM,,
160628,LFB,,
160657,LAT,,
160668,LBN,,
160672,LCS,,
160682,LNI,,
160698,LII,,
160748,LNI,,
160769,LNM,,
160786,LFP,,
160790,LIC,,
160799,LRI,,
160917,LMT,,
160953,LBN,,
160964,LFP,,
160980,LMK,,
160989,LCN,,
160996,LII,LCS,
160998,LNI,,
161008,LMK,,
161021,LEC,,
161044,LRT,,
161050,LEC,,
161068,LIC,,
161072,LEC,,
161078,LEC,,
161079,LMT,,
161097,LRP,,
161104,LPM,,
161129,LBN,,
161140,LMK,,
161166,LFP,,
161194,LMT,,
161202,LEA,,
161234,LAD,,
161236,LPM,,
161247,LII,,
161264,LMK,,
161303,LBM,,
161387,LMT,,
161389,LPM,,
161393,LIC,,
161395,LCS,,
161416,LFP,,
161421,LMK,,
161431,LRP,,
161436,LPM,,
161450,LAD,,
161454,LAD,,
161509,LBI,,
161514,LMK,,
161532,LMT,,
161550,LMK,,
161558,LBM,,
161564,LMT,,
161573,LIC,,
161577,LPA,,
161581,LIC,,
161635,LMT,,
161637,LNI,,
161640,LNI,,
161645,LMK,,
161648,LPA,LPO,
161660,LNI,,
161664,LMK,,
161671,LNM,,
161672,LBN,,
161673,LEC,,
161678,LRP,,
161679,LBN,,
161680,LFA,,
161681,LMT,,
161683,LAT,,
161692,LAT,,
161696,LBI,,
161698,LBN,,
161700,LMT,,
161703,BBA,,
161707,LPT,LRI,
161715,LNI,,
161722,LBN,,
161730,LAD,,
161734,LNI,,
161738,LNI,,
161739,LAR,,
161746,LNA,,
161747,LBN,,
161798,LAD,,
161799,LMK,,
161803,LEC,,
161806,LFP,,
161807,LRI,,
161810,LPM,,
161816,LBM,,
161819,LNI,,
161821,LQI,,
161823,LAD,,
161824,LEF,,
161825,LEF,,
161826,LQI,,
161829,LII,,
161830,LCS,,
161831,LII,,
161834,LIN,,
161835,LIM,,
161836,LPM,,
161839,LAT,,
161840,LCU,,
161842,LEC,,
161845,LNI,,
161846,LEF,,
161851,LEF,,
161852,LFP,,
161857,LBM,,
161860,LAR,,
161867,LPA,,
161869,LIM,,
161874,LAD,,
161875,LNI,,
161876,LHR,,
161878,LBN,,
161881,LFA,,
161882,LRI,,
161883,LIV,,
161884,LIC,,
161891,LFP,,
161896,LIC,,
161898,LFP,,
161902,LPM,,
161913,LBI,,
161914,LAD,,
161920,LII,,
161921,LEC,,
161924,LBC,LFB,
161926,LAT,,
161927,LAD,,
161929,LQI,,
161931,LPA,,
161934,LBI,LCN,
161936,LAR,,
161940,LIM,,
161944,LEC,,
161950,LEF,,
161951,LEF,,
161954,LIM,,
161955,LBN,,
161956,LEF,,
161957,LEF,,
161961,LCS,,
161963,LIY,,
161964,LAT,,
161967,LMT,,
161970,LQI,,
161971,LAT,,
161972,LAT,,
161973,LPA,,
161978,LFP,,
161979,LEC,,
161981,LEC,,
161982,LMK,,
161989,LBN,,
161990,LNI,,
161992,LMK,,
161993,LNI,,
161996,LNI,,
161997,LAD,,
161999,LAR,,
162000,LAR,,
162004,LHR,,
162007,LPA,,
162009,LII,,
162010,LBN,,
162014,LAD,,
162016,LPM,,
162017,LAT,,
162020,LNI,,
162021,LNI,,
162022,LEC,,
162023,LNI,,
162024,LIM,LII,
162025,LFP,,
162026,LNM,,
162030,LNI,,
162064,LIS,,
162066,LFB,,
162067,LQI,,
162072,LAD,,
162073,LIM,,
162076,LEC,,
162078,LMK,,
162082,LBM,,
162090,LAT,,
162092,LAD,,
162094,LCS,,
162098,LNI,,
162100,LNI,,
162101,LAR,,
162104,LIM,,
162105,LMK,,
162106,LIS,,
162107,LIS,,
162112,LFP,,
162118,LIC,,
162119,LMT,,
162120,LNI,,
162128,LIC,,
162129,LNI,,
162130,LRT,,
162131,LBM,,
162136,LAT,,
162137,LFP,,
162138,LBN,,
162140,LRP,,
162142,LAR,,
162143,LBC,,
162145,LII,LCS,
162146,LEA,,
162148,LIS,,
162150,LRI,,
162152,LAD,,
162153,LPM,,
162156,LDE,,
162158,LII,,
162159,LCS,,
162160,LMT,,
162162,LNA,,
162163,LAR,,
162164,BMK,,
162167,LAR,,
162168,LAR,,
162170,LFP,,
162173,LIM,,
162176,LIC,,
162180,LMK,,
162181,LFP,,
162190,LAR,,
162193,LCS,,
162194,LNI,,
162196,LCS,,
162199,LAT,,
162202,LAR,,
162203,LIV,,
162205,LFB,,
162207,LAR,,
162208,LPT,LRI,
