student_rank,CLAVEALUMNO,VISITAS,cum_students,cum_visits,cum_student_share,cum_visit_share
1,88493,0,1,0,9.603380389897244e-05,0.0
2,111083,0,2,0,0.00019206760779794487,0.0
3,141549,0,3,0,0.0002881014116969173,0.0
4,145096,0,4,0,0.00038413521559588974,0.0
5,146503,0,5,0,0.0004801690194948622,0.0
6,148182,0,6,0,0.0005762028233938346,0.0
7,149147,0,7,0,0.0006722366272928071,0.0
8,149242,0,8,0,0.0007682704311917795,0.0
9,149292,0,9,0,0.000864304235090752,0.0
10,149356,0,10,0,0.0009603380389897244,0.0
11,149449,0,11,0,0.0010563718428886967,0.0
12,150996,0,12,0,0.0011524056467876692,0.0
13,151457,0,13,0,0.0012484394506866417,0.0
14,151487,0,14,0,0.0013444732545856142,0.0
15,151524,0,15,0,0.0014405070584845865,0.0
16,151533,0,16,0,0.001536540862383559,0.0
17,152062,0,17,0,0.0016325746662825315,0.0
18,152249,0,18,0,0.001728608470181504,0.0
19,152934,0,19,0,0.0018246422740804764,0.0
20,153142,0,20,0,0.0019206760779794487,0.0
21,153270,0,21,0,0.002016709881878421,0.0
22,153774,0,22,0,0.0021127436857773935,0.0
23,153896,0,23,0,0.002208777489676366,0.0
24,154011,0,24,0,0.0023048112935753384,0.0
25,154059,0,25,0,0.002400845097474311,0.0
26,154302,0,26,0,0.0024968789013732834,0.0
27,154329,0,27,0,0.0025929127052722557,0.0
28,154472,0,28,0,0.0026889465091712284,0.0
29,154666,0,29,0,0.0027849803130702007,0.0
30,154677,0,30,0,0.002881014116969173,0.0
31,154723,0,31,0,0.0029770479208681457,0.0
32,155122,0,32,0,0.003073081724767118,0.0
33,155221,0,33,0,0.0031691155286660906,0.0
34,155623,0,34,0,0.003265149332565063,0.0
35,155634,0,35,0,0.003361183136464035,0.0
36,155700,0,36,0,0.003457216940363008,0.0
37,155843,0,37,0,0.00355325074426198,0.0
38,156018,0,38,0,0.003649284548160953,0.0
39,156192,0,39,0,0.003745318352059925,0.0
40,156400,0,40,0,0.0038413521559588974,0.0
41,156546,0,41,0,0.00393738595985787,0.0
42,156695,0,42,0,0.004033419763756842,0.0
43,156816,0,43,0,0.004129453567655815,0.0
44,156840,0,44,0,0.004225487371554787,0.0
45,156841,0,45,0,0.00432152117545376,0.0
