CLAVEPROFESOR,n_unique_students,n_student_classroom_observations,n_unique_subject_variants,n_unique_years,n_unique_sessions,mean_student_visits,median_student_visits,mean_raw_grade_numeric,mean_impkde_z,n_classroom_units,mean_classroom_size,median_classroom_size,min_classroom_size,max_classroom_size
23452,860,969,4,7,2,1.9411764705882353,0.0,8.973471615720525,-8.627429696003538e-17,25,38.76,33.0,20,85
23411,689,772,4,7,2,1.7227979274611398,0.0,8.580696202531646,-2.352752420060565e-16,26,29.692307692307693,28.0,8,75
23852,661,719,4,7,2,1.8344923504867872,0.0,8.833382137628112,-5.327217572957984e-18,19,37.8421052631579,32.0,20,70
24097,660,720,4,6,2,1.4666666666666666,0.0,8.897667638483965,8.450030798535913e-17,21,34.285714285714285,32.0,13,61
23152,657,726,4,7,2,1.9476584022038568,0.0,8.146952224052718,2.5844034595268795e-17,23,31.565217391304348,28.0,12,70
21852,646,651,3,7,2,1.1735791090629801,0.0,9.087166666666667,3.172065784643304e-17,23,28.304347826086957,28.0,14,67
23148,635,708,4,7,2,1.8968926553672316,0.0,8.942572741194487,2.8790529282652367e-16,21,33.714285714285715,32.0,16,58
22446,630,682,3,7,2,1.5131964809384164,0.0,8.651539708265803,-2.1087318922636542e-16,23,29.652173913043477,29.0,16,59
23978,594,638,4,7,2,1.3401253918495297,0.0,9.054187192118226,1.3747275696769179e-17,21,30.38095238095238,28.0,14,61
23149,581,618,4,5,2,1.901294498381877,0.0,7.475721153846154,-9.808766528241675e-17,17,36.35294117647059,28.0,11,68
23885,527,584,4,7,2,1.7140410958904109,0.0,8.890573012939003,-1.4752278546389066e-16,16,36.5,32.0,20,70
22114,523,584,4,7,2,1.9075342465753424,0.0,8.849814126394051,5.777342075061389e-16,16,36.5,28.5,18,107
22521,503,527,4,6,2,2.72865275142315,0.0,8.085714285714285,-1.6811346748593451e-16,16,32.9375,30.0,11,83
23425,502,525,4,5,2,1.4819047619047618,0.0,8.765922920892496,-1.4080007001585468e-16,13,40.38461538461539,30.0,25,65
23434,497,506,2,6,2,1.3992094861660078,0.0,7.764837905236908,-7.02117327826186e-17,10,50.6,52.5,26,85
23453,488,511,3,4,2,1.4951076320939334,0.0,7.845566502463055,-2.8521433964318476e-16,11,46.45454545454545,50.0,16,87
23897,487,525,4,6,2,2.243809523809524,0.0,9.066332665330663,-5.709718412357948e-16,16,32.8125,28.5,15,60
23162,486,519,2,6,2,2.5645472061657033,0.0,9.390138067061145,-1.0182392287506253e-16,10,51.9,46.0,27,106
22115,482,487,5,7,2,0.9856262833675564,0.0,8.339267015706806,1.5410898658041186e-16,14,34.785714285714285,28.0,20,87
20792,479,536,3,7,2,3.837686567164179,1.0,7.933159268929504,-2.5767116467046543e-16,18,29.77777777777778,29.5,16,63
23836,472,548,4,7,2,1.686131386861314,0.0,8.648192771084338,2.3541590412672115e-16,14,39.142857142857146,31.5,16,69
22767,469,475,3,7,2,0.871578947368421,0.0,8.813288288288287,1.748309099830773e-16,16,29.6875,29.5,14,44
16164,468,471,3,5,2,1.8237791932059448,0.0,8.939597315436242,-4.709608499365314e-16,11,42.81818181818182,35.0,10,93
21779,463,484,3,7,2,1.3409090909090908,0.0,8.312860892388452,2.087402794233249e-17,14,34.5,31.0,16,62
24086,448,471,4,6,2,1.585987261146497,0.0,8.265533980582525,1.0088650839481253e-16,15,31.4,29.0,14,59
22473,446,514,4,6,2,2.075875486381323,0.0,8.897457627118644,-3.995938901860972e-16,16,32.125,29.0,14,60
21262,434,493,5,7,2,1.3346855983772818,0.0,8.325742574257426,-2.657328943321876e-16,15,32.86666666666667,30.0,13,60
21815,433,437,5,6,2,1.0755148741418765,0.0,9.3756038647343,-2.0680126820248911e-16,16,27.3125,28.5,4,55
